budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,tittle,cast,director
237000000,"['Action', 'Adventure', 'Fantasy']",http://www.avatarmovie.com/,19995,"['culture clash', 'future', 'space war']",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment']","['United States of America', 'United Kingdom']",2009,2787965087,162.0,"['English', 'Español']",Released,Enter the World of Pandora.,Avatar,7.2,11800,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",James Cameron
300000000,"['Adventure', 'Fantasy', 'Action']",http://disney.go.com/disneypictures/pirates/,285,"['ocean', 'drug abuse', 'exotic island']",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America'],2007,961000000,169.0,['English'],Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,Pirates of the Caribbean: At World's End,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski
245000000,"['Action', 'Adventure', 'Crime']",http://www.sonypictures.com/movies/spectre/,206647,"['spy', 'based on novel', 'secret agent']",en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,"['Columbia Pictures', 'Danjaq', 'B24']","['United Kingdom', 'United States of America']",2015,880674609,148.0,"['Français', 'English', 'Español']",Released,A Plan No One Escapes,Spectre,6.3,4466,Spectre,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",Sam Mendes
250000000,"['Action', 'Crime', 'Drama']",http://www.thedarkknightrises.com/,49026,"['dc comics', 'crime fighter', 'terrorist']",en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']",['United States of America'],2012,1084939099,165.0,['English'],Released,The Legend Ends,The Dark Knight Rises,7.6,9106,The Dark Knight Rises,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",Christopher Nolan
260000000,"['Action', 'Adventure', 'Science Fiction']",http://movies.disney.com/john-carter,49529,"['based on novel', 'mars', 'medallion']",en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,['Walt Disney Pictures'],['United States of America'],2012,284139100,132.0,['English'],Released,"Lost in our world, found in another.",John Carter,6.1,2124,John Carter,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",Andrew Stanton
258000000,"['Fantasy', 'Action', 'Adventure']",http://www.sonypictures.com/movies/spider-man3/,559,"['dual identity', 'amnesia', 'sandstorm']",en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2007,890871626,139.0,"['English', 'Français']",Released,The battle within.,Spider-Man 3,5.9,3576,Spider-Man 3,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Sam Raimi
260000000,"['Animation', 'Family']",http://disney.go.com/disneypictures/tangled/,38757,"['hostage', 'magic', 'horse']",en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2010,591794936,100.0,['English'],Released,They're taking adventure to new lengths.,Tangled,7.4,3330,Tangled,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",Byron Howard
280000000,"['Action', 'Adventure', 'Science Fiction']",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,"['marvel comic', 'sequel', 'superhero']",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],2015,1405403694,141.0,['English'],Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Joss Whedon
250000000,"['Adventure', 'Fantasy', 'Family']",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"['witch', 'magic', 'broom']",en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']",2009,933959197,153.0,['English'],Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,Harry Potter and the Half-Blood Prince,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",David Yates
250000000,"['Action', 'Adventure', 'Fantasy']",http://www.batmanvsupermandawnofjustice.com/,209112,"['dc comics', 'vigilante', 'superhero']",en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.']",['United States of America'],2016,873260194,151.0,['English'],Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,Batman v Superman: Dawn of Justice,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Zack Snyder
